provincia,ICV_promedio,n_registros,pct_urbano,pct_pobreza
Azuay,68.29,4670,52.53,9.55
Bolivar,57.02,1156,33.13,43.08
Carchi,64.82,1016,50.79,12.8
Cañar,64.93,1413,43.24,16.56
Chimborazo,65.26,2819,47.78,27.21
Cotopaxi,63.2,2844,33.16,26.58
El Oro,65.32,4240,78.3,15.28
Esmeraldas,55.02,3200,44.41,43.78
Galapagos,69.57,172,75.0,17.44
Guayas,64.7,25871,85.06,18.53
Imbabura,67.0,2801,51.52,12.57
Loja,63.31,2822,59.6,20.69
Los Rios,57.04,5205,54.24,32.55
Manabi,56.16,9462,58.28,42.16
Morona Santiago,51.64,1199,32.61,50.21
Napo,55.73,817,34.52,43.21
Orellana,52.08,1055,41.99,50.43
Pastaza,55.62,698,31.81,45.7
Pichincha,73.51,17956,63.4,5.55
Santa Elena,60.26,2226,50.04,23.32
Santo Domingo de los Tsachilas,63.14,2893,73.9,23.26
Sucumbios,56.13,1131,42.18,39.61
Tungurahua,68.41,3333,38.58,13.83
Zamora Chinchipe,60.34,682,47.95,30.35
